# 2023-04-06, 16:43:05.891564
# fs = 10 Hz, N = 200
# NI 9201, 23.0.0
t,ai0,ai1
0.000000000,0.533246992,0.512771424
0.100000000,0.528105546,0.512771424
0.200000000,0.528105546,0.512771424
0.300000000,0.522964100,0.517912192
0.400000000,0.528105546,0.517912192
0.500000000,0.528105546,0.517912192
0.600000000,0.533246992,0.517912192
0.700000000,0.528105546,0.512771424
0.800000000,0.522964100,0.517912192
0.900000000,0.538388438,0.512771424
1.000000000,0.533246992,0.517912192
1.100000000,0.528105546,0.507630656
1.200000000,0.528105546,0.507630656
1.300000000,0.528105546,0.512771424
1.400000000,0.517822654,0.523052960
1.500000000,0.528105546,0.523052960
1.600000000,0.528105546,0.517912192
1.700000000,0.533246992,0.523052960
1.800000000,0.528105546,0.517912192
1.900000000,0.543529884,0.512771424
2.000000000,0.533246992,0.517912192
2.100000000,0.528105546,0.523052960
2.200000000,0.522964100,0.517912192
2.300000000,0.528105546,0.512771424
2.400000000,0.533246992,0.512771424
2.500000000,0.528105546,0.512771424
2.600000000,0.533246992,0.512771424
2.700000000,0.522964100,0.517912192
2.800000000,0.538388438,0.523052960
2.900000000,0.522964100,0.523052960
3.000000000,0.522964100,0.512771424
3.100000000,0.528105546,0.512771424
3.200000000,0.528105546,0.512771424
3.300000000,0.533246992,0.523052960
3.400000000,0.522964100,0.517912192
3.500000000,0.533246992,0.517912192
3.600000000,0.533246992,0.517912192
3.700000000,0.533246992,0.517912192
3.800000000,0.522964100,0.517912192
3.900000000,0.528105546,0.512771424
4.000000000,0.522964100,0.517912192
4.100000000,0.533246992,0.517912192
4.200000000,0.533246992,0.512771424
4.300000000,0.522964100,0.517912192
4.400000000,0.533246992,0.523052960
4.500000000,0.533246992,0.517912192
4.600000000,0.522964100,0.517912192
4.700000000,0.528105546,0.512771424
4.800000000,0.522964100,0.512771424
4.900000000,0.528105546,0.512771424
5.000000000,0.533246992,0.512771424
5.100000000,0.528105546,0.517912192
5.200000000,0.528105546,0.517912192
5.300000000,0.522964100,0.517912192
5.400000000,0.522964100,0.523052960
5.500000000,0.517822654,0.507630656
5.600000000,0.528105546,0.512771424
5.700000000,0.528105546,0.517912192
5.800000000,0.533246992,0.512771424
5.900000000,0.528105546,0.523052960
6.000000000,0.528105546,0.517912192
6.100000000,0.533246992,0.512771424
6.200000000,0.528105546,0.517912192
6.300000000,0.528105546,0.517912192
6.400000000,0.528105546,0.512771424
6.500000000,0.528105546,0.517912192
6.600000000,0.528105546,0.507630656
6.700000000,0.528105546,0.523052960
6.800000000,0.522964100,0.517912192
6.900000000,0.528105546,0.512771424
7.000000000,0.528105546,0.512771424
7.100000000,0.533246992,0.512771424
7.200000000,0.528105546,0.517912192
7.300000000,0.533246992,0.517912192
7.400000000,0.528105546,0.512771424
7.500000000,0.528105546,0.517912192
7.600000000,0.528105546,0.517912192
7.700000000,0.522964100,0.517912192
7.800000000,0.522964100,0.523052960
7.900000000,0.528105546,0.512771424
8.000000000,0.528105546,0.517912192
8.100000000,0.533246992,0.517912192
8.200000000,0.528105546,0.517912192
8.300000000,0.528105546,0.517912192
8.400000000,0.528105546,0.512771424
8.500000000,0.528105546,0.512771424
8.600000000,0.522964100,0.517912192
8.700000000,0.528105546,0.523052960
8.800000000,0.533246992,0.523052960
8.900000000,0.528105546,0.517912192
9.000000000,0.528105546,0.517912192
9.100000000,0.528105546,0.528193728
9.200000000,0.522964100,0.517912192
9.300000000,0.522964100,0.517912192
9.400000000,0.528105546,0.517912192
9.500000000,0.533246992,0.523052960
9.600000000,0.528105546,0.517912192
9.700000000,0.522964100,0.512771424
9.800000000,0.533246992,0.517912192
9.900000000,0.528105546,0.517912192
10.000000000,0.528105546,0.512771424
10.100000000,0.533246992,0.517912192
10.200000000,0.528105546,0.512771424
10.300000000,0.533246992,0.512771424
10.400000000,0.533246992,0.517912192
10.500000000,0.522964100,0.517912192
10.600000000,0.533246992,0.507630656
10.700000000,0.528105546,0.517912192
10.800000000,0.528105546,0.512771424
10.900000000,0.528105546,0.512771424
11.000000000,0.528105546,0.517912192
11.100000000,0.522964100,0.512771424
11.200000000,0.528105546,0.512771424
11.300000000,0.522964100,0.512771424
11.400000000,0.528105546,0.512771424
11.500000000,0.528105546,0.523052960
11.600000000,0.528105546,0.512771424
11.700000000,0.528105546,0.523052960
11.800000000,0.528105546,0.512771424
11.900000000,0.522964100,0.512771424
12.000000000,0.528105546,0.517912192
12.100000000,0.528105546,0.512771424
12.200000000,0.522964100,0.523052960
12.300000000,0.533246992,0.517912192
12.400000000,0.522964100,0.517912192
12.500000000,0.528105546,0.517912192
12.600000000,0.528105546,0.517912192
12.700000000,0.528105546,0.512771424
12.800000000,0.533246992,0.523052960
12.900000000,0.522964100,0.517912192
13.000000000,0.528105546,0.517912192
13.100000000,0.522964100,0.517912192
